Sequence in Dataset,Name,Label,Type,Level,Width,Decimals,Domain,Value scheme,Missing Scheme,Link to values,
1007,P901002S,PV Q1 square (Scored Response),Integer,Nominal,1,0,Reading components (paper),Reading Components scoring (all),"Cognitive (""not reached"")",Values,
1008,P904012R,PV Q2 butterfly (Actual Response),Integer,Nominal,1,0,Reading components (paper),Reading Components responses (print vocabulary),"Cognitive (""not reached"")",Values,
1009,P904012S,PV Q2 butterfly (Scored Response),Integer,Nominal,1,0,Reading components (paper),Reading Components scoring (all),"Cognitive (""not reached"")",Values,
1010,P901003R,PV Q3 hand (Actual Response),Integer,Nominal,1,0,Reading components (paper),Reading Components responses (print vocabulary),"Cognitive (""not reached"")",Values,
1011,P901003S,PV Q3 hand (Scored Response),Integer,Nominal,1,0,Reading components (paper),Reading Components scoring (all),"Cognitive (""not reached"")",Values,
1012,P901005R,PV Q4 baby (Actual Response),Integer,Nominal,1,0,Reading components (paper),Reading Components responses (print vocabulary),"Cognitive (""not reached"")",Values,
1013,P901005S,PV Q4 baby (Scored Response),Integer,Nominal,1,0,Reading components (paper),Reading Components scoring (all),"Cognitive (""not reached"")",Values,
1014,P904009R,PV Q5 ruler (Actual Response),Integer,Nominal,1,0,Reading components (paper),Reading Components responses (print vocabulary),"Cognitive (""not reached"")",Values,
1015,P904009S,PV Q5 ruler (Scored Response),Integer,Nominal,1,0,Reading components (paper),Reading Components scoring (all),"Cognitive (""not reached"")",Values,
1016,P901006R,PV Q6 bird (Actual Response),Integer,Nominal,1,0,Reading components (paper),Reading Components responses (print vocabulary),"Cognitive (""not reached"")",Values,
1017,P901006S,PV Q6 bird (Scored Response),Integer,Nominal,1,0,Reading components (paper),Reading Components scoring (all),"Cognitive (""not reached"")",Values,
1018,P901004R,PV Q7 moon (Actual Response),Integer,Nominal,1,0,Reading components (paper),Reading Components responses (print vocabulary),"Cognitive (""not reached"")",Values,
1019,P901004S,PV Q7 moon (Scored Response),Integer,Nominal,1,0,Reading components (paper),Reading Components scoring (all),"Cognitive (""not reached"")",Values,
1020,P901013R,PV Q8 bread (Actual Response),Integer,Nominal,1,0,Reading components (paper),Reading Components responses (print vocabulary),"Cognitive (""not reached"")",Values,
1021,P901013S,PV Q8 bread (Scored Response),Integer,Nominal,1,0,Reading components (paper),Reading Components scoring (all),"Cognitive (""not reached"")",Values,
1022,P903007R,PV Q9 shovel (Actual Response),Integer,Nominal,1,0,Reading components (paper),Reading Components responses (print vocabulary),"Cognitive (""not reached"")",Values,
1023,P903007S,PV Q9 shovel (Scored Response),Integer,Nominal,1,0,Reading components (paper),Reading Components scoring (all),"Cognitive (""not reached"")",Values,
1024,P903012R,PV Q10 chess (Actual Response),Integer,Nominal,1,0,Reading components (paper),Reading Components responses (print vocabulary),"Cognitive (""not reached"")",Values,
1025,P903012S,PV Q10 chess (Scored Response),Integer,Nominal,1,0,Reading components (paper),Reading Components scoring (all),"Cognitive (""not reached"")",Values,
1026,P904010R,PV Q11 pants (Actual Response),Integer,Nominal,1,0,Reading components (paper),Reading Components responses (print vocabulary),"Cognitive (""not reached"")",Values,
1027,P904010S,PV Q11 pants (Scored Response),Integer,Nominal,1,0,Reading components (paper),Reading Components scoring (all),"Cognitive (""not reached"")",Values,
1028,P902024R,PV Q12 crown (Actual Response),Integer,Nominal,1,0,Reading components (paper),Reading Components responses (print vocabulary),"Cognitive (""not reached"")",Values,
1029,P902024S,PV Q12 crown (Scored Response),Integer,Nominal,1,0,Reading components (paper),Reading Components scoring (all),"Cognitive (""not reached"")",Values,
1030,P901011R,PV Q13 piano (Actual Response),Integer,Nominal,1,0,Reading components (paper),Reading Components responses (print vocabulary),"Cognitive (""not reached"")",Values,
1031,P901011S,PV Q13 piano (Scored Response),Integer,Nominal,1,0,Reading components (paper),Reading Components scoring (all),"Cognitive (""not reached"")",Values,
1032,P901020R,PV Q14 computer (Actual Response),Integer,Nominal,1,0,Reading components (paper),Reading Components responses (print vocabulary),"Cognitive (""not reached"")",Values,
1033,P901020S,PV Q14 computer (Scored Response),Integer,Nominal,1,0,Reading components (paper),Reading Components scoring (all),"Cognitive (""not reached"")",Values,
1034,P901017R,PV Q15 elephant (Actual Response),Integer,Nominal,1,0,Reading components (paper),Reading Components responses (print vocabulary),"Cognitive (""not reached"")",Values,
1035,P901017S,PV Q15 elephant (Scored Response),Integer,Nominal,1,0,Reading components (paper),Reading Components scoring (all),"Cognitive (""not reached"")",Values,
1036,P901018R,PV Q16 saw (Actual Response),Integer,Nominal,1,0,Reading components (paper),Reading Components responses (print vocabulary),"Cognitive (""not reached"")",Values,
1037,P901018S,PV Q16 saw (Scored Response),Integer,Nominal,1,0,Reading components (paper),Reading Components scoring (all),"Cognitive (""not reached"")",Values,
1038,P901019R,PV Q17 bus (Actual Response),Integer,Nominal,1,0,Reading components (paper),Reading Components responses (print vocabulary),"Cognitive (""not reached"")",Values,
1039,P901019S,PV Q17 bus (Scored Response),Integer,Nominal,1,0,Reading components (paper),Reading Components scoring (all),"Cognitive (""not reached"")",Values,
1040,P904022R,PV Q18 stool (Actual Response),Integer,Nominal,1,0,Reading components (paper),Reading Components responses (print vocabulary),"Cognitive (""not reached"")",Values,
1041,P904022S,PV Q18 stool (Scored Response),Integer,Nominal,1,0,Reading components (paper),Reading Components scoring (all),"Cognitive (""not reached"")",Values,
1042,P902021R,PV Q19 umbrella (Actual Response),Integer,Nominal,1,0,Reading components (paper),Reading Components responses (print vocabulary),"Cognitive (""not reached"")",Values,
1043,P902021S,PV Q19 umbrella (Scored Response),Integer,Nominal,1,0,Reading components (paper),Reading Components scoring (all),"Cognitive (""not reached"")",Values,
1044,P903017R,PV Q20 lion (Actual Response),Integer,Nominal,1,0,Reading components (paper),Reading Components responses (print vocabulary),"Cognitive (""not reached"")",Values,
1045,P903017S,PV Q20 lion (Scored Response),Integer,Nominal,1,0,Reading components (paper),Reading Components scoring (all),"Cognitive (""not reached"")",Values,
1046,P904014R,PV Q21 bottle (Actual Response),Integer,Nominal,1,0,Reading components (paper),Reading Components responses (print vocabulary),"Cognitive (""not reached"")",Values,
1047,P904014S,PV Q21 bottle (Scored Response),Integer,Nominal,1,0,Reading components (paper),Reading Components scoring (all),"Cognitive (""not reached"")",Values,
1048,P901021R,PV Q22 zipper (Actual Response),Integer,Nominal,1,0,Reading components (paper),Reading Components responses (print vocabulary),"Cognitive (""not reached"")",Values,
1049,P901021S,PV Q22 zipper (Scored Response),Integer,Nominal,1,0,Reading components (paper),Reading Components scoring (all),"Cognitive (""not reached"")",Values,
1050,P904015R,PV Q23 neck (Actual Response),Integer,Nominal,1,0,Reading components (paper),Reading Components responses (print vocabulary),"Cognitive (""not reached"")",Values,
1051,P904015S,PV Q23 neck (Scored Response),Integer,Nominal,1,0,Reading components (paper),Reading Components scoring (all),"Cognitive (""not reached"")",Values,
1052,P904020R,PV Q24 television (Actual Response),Integer,Nominal,1,0,Reading components (paper),Reading Components responses (print vocabulary),"Cognitive (""not reached"")",Values,
1053,P904020S,PV Q24 television (Scored Response),Integer,Nominal,1,0,Reading components (paper),Reading Components scoring (all),"Cognitive (""not reached"")",Values,
1054,P902022R,PV Q25 door (Actual Response),Integer,Nominal,1,0,Reading components (paper),Reading Components responses (print vocabulary),"Cognitive (""not reached"")",Values,
1055,P902022S,PV Q25 door (Scored Response),Integer,Nominal,1,0,Reading components (paper),Reading Components scoring (all),"Cognitive (""not reached"")",Values,
1056,P901024R,PV Q26 candle (Actual Response),Integer,Nominal,1,0,Reading components (paper),Reading Components responses (print vocabulary),"Cognitive (""not reached"")",Values,
1057,P901024S,PV Q26 candle (Scored Response),Integer,Nominal,1,0,Reading components (paper),Reading Components scoring (all),"Cognitive (""not reached"")",Values,
1058,P901025R,PV Q27 fountain (Actual Response),Integer,Nominal,1,0,Reading components (paper),Reading Components responses (print vocabulary),"Cognitive (""not reached"")",Values,
1059,P901025S,PV Q27 fountain (Scored Response),Integer,Nominal,1,0,Reading components (paper),Reading Components scoring (all),"Cognitive (""not reached"")",Values,
1060,P902014R,PV Q28 microscope (Actual Response),Integer,Nominal,1,0,Reading components (paper),Reading Components responses (print vocabulary),"Cognitive (""not reached"")",Values,
1061,P902014S,PV Q28 microscope (Scored Response),Integer,Nominal,1,0,Reading components (paper),Reading Components scoring (all),"Cognitive (""not reached"")",Values,
1062,P903024R,PV Q29 envelope (Actual Response),Integer,Nominal,1,0,Reading components (paper),Reading Components responses (print vocabulary),"Cognitive (""not reached"")",Values,
1063,P903024S,PV Q29 envelope (Scored Response),Integer,Nominal,1,0,Reading components (paper),Reading Components scoring (all),"Cognitive (""not reached"")",Values,
1064,P904024R,PV Q30 bell (Actual Response),Integer,Nominal,1,0,Reading components (paper),Reading Components responses (print vocabulary),"Cognitive (""not reached"")",Values,
1065,P904024S,PV Q30 bell (Scored Response),Integer,Nominal,1,0,Reading components (paper),Reading Components scoring (all),"Cognitive (""not reached"")",Values,
1066,P904025R,PV Q31 axe (Actual Response),Integer,Nominal,1,0,Reading components (paper),Reading Components responses (print vocabulary),"Cognitive (""not reached"")",Values,
1067,P904025S,PV Q31 axe (Scored Response),Integer,Nominal,1,0,Reading components (paper),Reading Components scoring (all),"Cognitive (""not reached"")",Values,
1068,P903021R,PV Q32 saddle (Actual Response),Integer,Nominal,1,0,Reading components (paper),Reading Components responses (print vocabulary),"Cognitive (""not reached"")",Values,
1069,P903021S,PV Q32 saddle (Scored Response),Integer,Nominal,1,0,Reading components (paper),Reading Components scoring (all),"Cognitive (""not reached"")",Values,
1070,P901015R,PV Q33 wrist (Actual Response),Integer,Nominal,1,0,Reading components (paper),Reading Components responses (print vocabulary),"Cognitive (""not reached"")",Values,
1071,P901015S,PV Q33 wrist (Scored Response),Integer,Nominal,1,0,Reading components (paper),Reading Components scoring (all),"Cognitive (""not reached"")",Values,
1072,P904021R,PV Q34 arrow (Actual Response),Integer,Nominal,1,0,Reading components (paper),Reading Components responses (print vocabulary),"Cognitive (""not reached"")",Values,
1073,P904021S,PV Q34 arrow (Scored Response),Integer,Nominal,1,0,Reading components (paper),Reading Components scoring (all),"Cognitive (""not reached"")",Values,
1074,P911001R,SP S1 (Actual Response),Integer,Nominal,1,0,Reading components (paper),Reading Components responses (sentence processing),"Cognitive (""not reached"")",Values,
1075,P911001S,SP S1 (Scored Response),Integer,Nominal,1,0,Reading components (paper),Reading Components scoring (all),"Cognitive (""not reached"")",Values,
1076,P912002R,SP S2 (Actual Response),Integer,Nominal,1,0,Reading components (paper),Reading Components responses (sentence processing),"Cognitive (""not reached"")",Values,
1077,P912002S,SP S2 (Scored Response),Integer,Nominal,1,0,Reading components (paper),Reading Components scoring (all),"Cognitive (""not reached"")",Values,
1078,P911003R,SP S3 (Actual Response),Integer,Nominal,1,0,Reading components (paper),Reading Components responses (sentence processing),"Cognitive (""not reached"")",Values,
1079,P911003S,SP S3 (Scored Response),Integer,Nominal,1,0,Reading components (paper),Reading Components scoring (all),"Cognitive (""not reached"")",Values,
1080,P911004R,SP S4 (Actual Response),Integer,Nominal,1,0,Reading components (paper),Reading Components responses (sentence processing),"Cognitive (""not reached"")",Values,
1081,P911004S,SP S4 (Scored Response),Integer,Nominal,1,0,Reading components (paper),Reading Components scoring (all),"Cognitive (""not reached"")",Values,
1082,P911005R,SP S5 (Actual Response),Integer,Nominal,1,0,Reading components (paper),Reading Components responses (sentence processing),"Cognitive (""not reached"")",Values,
1083,P911005S,SP S5 (Scored Response),Integer,Nominal,1,0,Reading components (paper),Reading Components scoring (all),"Cognitive (""not reached"")",Values,
1084,P911006R,SP S6 (Actual Response),Integer,Nominal,1,0,Reading components (paper),Reading Components responses (sentence processing),"Cognitive (""not reached"")",Values,
1085,P911006S,SP S6 (Scored Response),Integer,Nominal,1,0,Reading components (paper),Reading Components scoring (all),"Cognitive (""not reached"")",Values,
1086,P911007R,SP S7 (Actual Response),Integer,Nominal,1,0,Reading components (paper),Reading Components responses (sentence processing),"Cognitive (""not reached"")",Values,
1087,P911007S,SP S7 (Scored Response),Integer,Nominal,1,0,Reading components (paper),Reading Components scoring (all),"Cognitive (""not reached"")",Values,
1088,P911008R,SP S8 (Actual Response),Integer,Nominal,1,0,Reading components (paper),Reading Components responses (sentence processing),"Cognitive (""not reached"")",Values,
1089,P911008S,SP S8 (Scored Response),Integer,Nominal,1,0,Reading components (paper),Reading Components scoring (all),"Cognitive (""not reached"")",Values,
1090,P911009R,SP S9 (Actual Response),Integer,Nominal,1,0,Reading components (paper),Reading Components responses (sentence processing),"Cognitive (""not reached"")",Values,
1091,P911009S,SP S9 (Scored Response),Integer,Nominal,1,0,Reading components (paper),Reading Components scoring (all),"Cognitive (""not reached"")",Values,
1092,P911010R,SP S10 (Actual Response),Integer,Nominal,1,0,Reading components (paper),Reading Components responses (sentence processing),"Cognitive (""not reached"")",Values,
1093,P911010S,SP S10 (Scored Response),Integer,Nominal,1,0,Reading components (paper),Reading Components scoring (all),"Cognitive (""not reached"")",Values,
1094,P913013R,SP S11 (Actual Response),Integer,Nominal,1,0,Reading components (paper),Reading Components responses (sentence processing),"Cognitive (""not reached"")",Values,
1095,P913013S,SP S11 (Scored Response),Integer,Nominal,1,0,Reading components (paper),Reading Components scoring (all),"Cognitive (""not reached"")",Values,
1096,P912011R,SP S12 (Actual Response),Integer,Nominal,1,0,Reading components (paper),Reading Components responses (sentence processing),"Cognitive (""not reached"")",Values,
1097,P912011S,SP S12 (Scored Response),Integer,Nominal,1,0,Reading components (paper),Reading Components scoring (all),"Cognitive (""not reached"")",Values,
1098,P914012R,SP S13 (Actual Response),Integer,Nominal,1,0,Reading components (paper),Reading Components responses (sentence processing),"Cognitive (""not reached"")",Values,
1099,P914012S,SP S13 (Scored Response),Integer,Nominal,1,0,Reading components (paper),Reading Components scoring (all),"Cognitive (""not reached"")",Values,
1100,P912013R,SP S14 (Actual Response),Integer,Nominal,1,0,Reading components (paper),Reading Components responses (sentence processing),"Cognitive (""not reached"")",Values,
1101,P912013S,SP S14 (Scored Response),Integer,Nominal,1,0,Reading components (paper),Reading Components scoring (all),"Cognitive (""not reached"")",Values,
1102,P911014R,SP S15 (Actual Response),Integer,Nominal,1,0,Reading components (paper),Reading Components responses (sentence processing),"Cognitive (""not reached"")",Values,
1103,P911014S,SP S15 (Scored Response),Integer,Nominal,1,0,Reading components (paper),Reading Components scoring (all),"Cognitive (""not reached"")",Values,
1104,P914015R,SP S16 (Actual Response),Integer,Nominal,1,0,Reading components (paper),Reading Components responses (sentence processing),"Cognitive (""not reached"")",Values,
1105,P914015S,SP S16 (Scored Response),Integer,Nominal,1,0,Reading components (paper),Reading Components scoring (all),"Cognitive (""not reached"")",Values,
1106,P914019R,SP S17 (Actual Response),Integer,Nominal,1,0,Reading components (paper),Reading Components responses (sentence processing),"Cognitive (""not reached"")",Values,
1107,P914019S,SP S17 (Scored Response),Integer,Nominal,1,0,Reading components (paper),Reading Components scoring (all),"Cognitive (""not reached"")",Values,
1108,P914016R,SP S18 (Actual Response),Integer,Nominal,1,0,Reading components (paper),Reading Components responses (sentence processing),"Cognitive (""not reached"")",Values,
1109,P914016S,SP S18 (Scored Response),Integer,Nominal,1,0,Reading components (paper),Reading Components scoring (all),"Cognitive (""not reached"")",Values,
1110,P911017R,SP S19 (Actual Response),Integer,Nominal,1,0,Reading components (paper),Reading Components responses (sentence processing),"Cognitive (""not reached"")",Values,
1111,P911017S,SP S19 (Scored Response),Integer,Nominal,1,0,Reading components (paper),Reading Components scoring (all),"Cognitive (""not reached"")",Values,
1112,P914018R,SP S20 (Actual Response),Integer,Nominal,1,0,Reading components (paper),Reading Components responses (sentence processing),"Cognitive (""not reached"")",Values,
1113,P914018S,SP S20 (Scored Response),Integer,Nominal,1,0,Reading components (paper),Reading Components scoring (all),"Cognitive (""not reached"")",Values,
1114,P912019R,SP S21 (Actual Response),Integer,Nominal,1,0,Reading components (paper),Reading Components responses (sentence processing),"Cognitive (""not reached"")",Values,
1115,P912019S,SP S21 (Scored Response),Integer,Nominal,1,0,Reading components (paper),Reading Components scoring (all),"Cognitive (""not reached"")",Values,
1116,P911020R,SP S22 (Actual Response),Integer,Nominal,1,0,Reading components (paper),Reading Components responses (sentence processing),"Cognitive (""not reached"")",Values,
1117,P911020S,SP S22 (Scored Response),Integer,Nominal,1,0,Reading components (paper),Reading Components scoring (all),"Cognitive (""not reached"")",Values,
1118,P921002R,PC P1 S2 The Birthday Party (Actual Response),Integer,Nominal,1,0,Reading components (paper),Reading Components responses (passage comprehension),"Cognitive (""not reached"")",Values,
1119,P921002S,PC P1 S2 The Birthday Party (Scored Response),Integer,Nominal,1,0,Reading components (paper),Reading Components scoring (all),"Cognitive (""not reached"")",Values,
1120,P921003R,PC P1 S3 The Birthday Party (Actual Response),Integer,Nominal,1,0,Reading components (paper),Reading Components responses (passage comprehension),"Cognitive (""not reached"")",Values,
1121,P921003S,PC P1 S3 The Birthday Party (Scored Response),Integer,Nominal,1,0,Reading components (paper),Reading Components scoring (all),"Cognitive (""not reached"")",Values,
1122,P921004R,PC P1 S4 The Birthday Party (Actual Response),Integer,Nominal,1,0,Reading components (paper),Reading Components responses (passage comprehension),"Cognitive (""not reached"")",Values,
1123,P921004S,PC P1 S4 The Birthday Party (Scored Response),Integer,Nominal,1,0,Reading components (paper),Reading Components scoring (all),"Cognitive (""not reached"")",Values,
1124,P921005R,PC P1 S5 The Birthday Party (Actual Response),Integer,Nominal,1,0,Reading components (paper),Reading Components responses (passage comprehension),"Cognitive (""not reached"")",Values,
1125,P921005S,PC P1 S5 The Birthday Party (Scored Response),Integer,Nominal,1,0,Reading components (paper),Reading Components scoring (all),"Cognitive (""not reached"")",Values,
1126,P921007R,PC P1 S7 The Birthday Party (Actual Response),Integer,Nominal,1,0,Reading components (paper),Reading Components responses (passage comprehension),"Cognitive (""not reached"")",Values,
1127,P921007S,PC P1 S7 The Birthday Party (Scored Response),Integer,Nominal,1,0,Reading components (paper),Reading Components scoring (all),"Cognitive (""not reached"")",Values,
1128,P921008R,PC P1 S8 The Birthday Party (Actual Response),Integer,Nominal,1,0,Reading components (paper),Reading Components responses (passage comprehension),"Cognitive (""not reached"")",Values,
1129,P921008S,PC P1 S8 The Birthday Party (Scored Response),Integer,Nominal,1,0,Reading components (paper),Reading Components scoring (all),"Cognitive (""not reached"")",Values,
1130,P921009R,PC P1 S9 The Birthday Party (Actual Response),Integer,Nominal,1,0,Reading components (paper),Reading Components responses (passage comprehension),"Cognitive (""not reached"")",Values,
1131,P921009S,PC P1 S9 The Birthday Party (Scored Response),Integer,Nominal,1,0,Reading components (paper),Reading Components scoring (all),"Cognitive (""not reached"")",Values,
1132,P921010R,PC P1 S10 The Birthday Party (Actual Response),Integer,Nominal,1,0,Reading components (paper),Reading Components responses (passage comprehension),"Cognitive (""not reached"")",Values,
1133,P921010S,PC P1 S10 The Birthday Party (Scored Response),Integer,Nominal,1,0,Reading components (paper),Reading Components scoring (all),"Cognitive (""not reached"")",Values,
1134,P921011R,PC P1 S11 The Birthday Party (Actual Response),Integer,Nominal,1,0,Reading components (paper),Reading Components responses (passage comprehension),"Cognitive (""not reached"")",Values,
1135,P921011S,PC P1 S11 The Birthday Party (Scored Response),Integer,Nominal,1,0,Reading components (paper),Reading Components scoring (all),"Cognitive (""not reached"")",Values,
1136,P921013R,PC P1 S13 The Birthday Party (Actual Response),Integer,Nominal,1,0,Reading components (paper),Reading Components responses (passage comprehension),"Cognitive (""not reached"")",Values,
1137,P921013S,PC P1 S13 The Birthday Party (Scored Response),Integer,Nominal,1,0,Reading components (paper),Reading Components scoring (all),"Cognitive (""not reached"")",Values,
1138,P921014R,PC P1 S14 The Birthday Party (Actual Response),Integer,Nominal,1,0,Reading components (paper),Reading Components responses (passage comprehension),"Cognitive (""not reached"")",Values,
1139,P921014S,PC P1 S14 The Birthday Party (Scored Response),Integer,Nominal,1,0,Reading components (paper),Reading Components scoring (all),"Cognitive (""not reached"")",Values,
1140,P921015R,PC P1 S15 The Birthday Party (Actual Response),Integer,Nominal,1,0,Reading components (paper),Reading Components responses (passage comprehension),"Cognitive (""not reached"")",Values,
1141,P921015S,PC P1 S15 The Birthday Party (Scored Response),Integer,Nominal,1,0,Reading components (paper),Reading Components scoring (all),"Cognitive (""not reached"")",Values,
1142,P921016R,PC P1 S16 The Birthday Party (Actual Response),Integer,Nominal,1,0,Reading components (paper),Reading Components responses (passage comprehension),"Cognitive (""not reached"")",Values,
1143,P921016S,PC P1 S16 The Birthday Party (Scored Response),Integer,Nominal,1,0,Reading components (paper),Reading Components scoring (all),"Cognitive (""not reached"")",Values,
1144,P921017R,PC P1 S17 The Birthday Party (Actual Response),Integer,Nominal,1,0,Reading components (paper),Reading Components responses (passage comprehension),"Cognitive (""not reached"")",Values,
1145,P921017S,PC P1 S17 The Birthday Party (Scored Response),Integer,Nominal,1,0,Reading components (paper),Reading Components scoring (all),"Cognitive (""not reached"")",Values,
1146,P921018R,PC P1 S18 The Birthday Party (Actual Response),Integer,Nominal,1,0,Reading components (paper),Reading Components responses (passage comprehension),"Cognitive (""not reached"")",Values,
1147,P921018S,PC P1 S18 The Birthday Party (Scored Response),Integer,Nominal,1,0,Reading components (paper),Reading Components scoring (all),"Cognitive (""not reached"")",Values,
1148,P921019R,PC P1 S19 The Birthday Party (Actual Response),Integer,Nominal,1,0,Reading components (paper),Reading Components responses (passage comprehension),"Cognitive (""not reached"")",Values,
1149,P921019S,PC P1 S19 The Birthday Party (Scored Response),Integer,Nominal,1,0,Reading components (paper),Reading Components scoring (all),"Cognitive (""not reached"")",Values,
1150,P921020R,PC P1 S20 The Birthday Party (Actual Response),Integer,Nominal,1,0,Reading components (paper),Reading Components responses (passage comprehension),"Cognitive (""not reached"")",Values,
1151,P921020S,PC P1 S20 The Birthday Party (Scored Response),Integer,Nominal,1,0,Reading components (paper),Reading Components scoring (all),"Cognitive (""not reached"")",Values,
1152,P921021R,PC P1 S21 The Birthday Party (Actual Response),Integer,Nominal,1,0,Reading components (paper),Reading Components responses (passage comprehension),"Cognitive (""not reached"")",Values,
1153,P921021S,PC P1 S21 The Birthday Party (Scored Response),Integer,Nominal,1,0,Reading components (paper),Reading Components scoring (all),"Cognitive (""not reached"")",Values,
1154,P922023R,PC P2 S2 A Letter to the Editor - Clinic (Actual Response),Integer,Nominal,1,0,Reading components (paper),Reading Components responses (passage comprehension),"Cognitive (""not reached"")",Values,
1155,P922023S,PC P2 S2 A Letter to the Editor - Clinic (Scored Response),Integer,Nominal,1,0,Reading components (paper),Reading Components scoring (all),"Cognitive (""not reached"")",Values,
1156,P922024R,PC P2 S3 A Letter to the Editor - Clinic (Actual Response),Integer,Nominal,1,0,Reading components (paper),Reading Components responses (passage comprehension),"Cognitive (""not reached"")",Values,
1157,P922024S,PC P2 S3 A Letter to the Editor - Clinic (Scored Response),Integer,Nominal,1,0,Reading components (paper),Reading Components scoring (all),"Cognitive (""not reached"")",Values,
1158,P922025R,PC P2 S4 A Letter to the Editor - Clinic (Actual Response),Integer,Nominal,1,0,Reading components (paper),Reading Components responses (passage comprehension),"Cognitive (""not reached"")",Values,
1159,P922025S,PC P2 S4 A Letter to the Editor - Clinic (Scored Response),Integer,Nominal,1,0,Reading components (paper),Reading Components scoring (all),"Cognitive (""not reached"")",Values,
1160,P922026R,PC P2 S5 A Letter to the Editor - Clinic (Actual Response),Integer,Nominal,1,0,Reading components (paper),Reading Components responses (passage comprehension),"Cognitive (""not reached"")",Values,
1161,P922026S,PC P2 S5 A Letter to the Editor - Clinic (Scored Response),Integer,Nominal,1,0,Reading components (paper),Reading Components scoring (all),"Cognitive (""not reached"")",Values,
1162,P922027R,PC P2 S6 A Letter to the Editor - Clinic (Actual Response),Integer,Nominal,1,0,Reading components (paper),Reading Components responses (passage comprehension),"Cognitive (""not reached"")",Values,
1163,P922027S,PC P2 S6 A Letter to the Editor - Clinic (Scored Response),Integer,Nominal,1,0,Reading components (paper),Reading Components scoring (all),"Cognitive (""not reached"")",Values,
1164,P922028R,PC P2 S7 A Letter to the Editor - Clinic (Actual Response),Integer,Nominal,1,0,Reading components (paper),Reading Components responses (passage comprehension),"Cognitive (""not reached"")",Values,
1165,P922028S,PC P2 S7 A Letter to the Editor - Clinic (Scored Response),Integer,Nominal,1,0,Reading components (paper),Reading Components scoring (all),"Cognitive (""not reached"")",Values,
1166,P922030R,PC P2 S9 A Letter to the Editor - Clinic (Actual Response),Integer,Nominal,1,0,Reading components (paper),Reading Components responses (passage comprehension),"Cognitive (""not reached"")",Values,
1167,P922030S,PC P2 S9 A Letter to the Editor - Clinic (Scored Response),Integer,Nominal,1,0,Reading components (paper),Reading Components scoring (all),"Cognitive (""not reached"")",Values,
1168,P922031R,PC P2 S10 A Letter to the Editor - Clinic (Actual Response),Integer,Nominal,1,0,Reading components (paper),Reading Components responses (passage comprehension),"Cognitive (""not reached"")",Values,
1169,P922031S,PC P2 S10 A Letter to the Editor - Clinic (Scored Response),Integer,Nominal,1,0,Reading components (paper),Reading Components scoring (all),"Cognitive (""not reached"")",Values,
1170,P922032R,PC P2 S11 A Letter to the Editor - Clinic (Actual Response),Integer,Nominal,1,0,Reading components (paper),Reading Components responses (passage comprehension),"Cognitive (""not reached"")",Values,
1171,P922032S,PC P2 S11 A Letter to the Editor - Clinic (Scored Response),Integer,Nominal,1,0,Reading components (paper),Reading Components scoring (all),"Cognitive (""not reached"")",Values,
1172,P922033R,PC P2 S12 A Letter to the Editor - Clinic (Actual Response),Integer,Nominal,1,0,Reading components (paper),Reading Components responses (passage comprehension),"Cognitive (""not reached"")",Values,
1173,P922033S,PC P2 S12 A Letter to the Editor - Clinic (Scored Response),Integer,Nominal,1,0,Reading components (paper),Reading Components scoring (all),"Cognitive (""not reached"")",Values,
1174,P921035R,PC P3 S2 World Sports (Actual Response),Integer,Nominal,1,0,Reading components (paper),Reading Components responses (passage comprehension),"Cognitive (""not reached"")",Values,
1175,P921035S,PC P3 S2 World Sports (Scored Response),Integer,Nominal,1,0,Reading components (paper),Reading Components scoring (all),"Cognitive (""not reached"")",Values,
1176,P921036R,PC P3 S3 World Sports (Actual Response),Integer,Nominal,1,0,Reading components (paper),Reading Components responses (passage comprehension),"Cognitive (""not reached"")",Values,
1177,P921036S,PC P3 S3 World Sports (Scored Response),Integer,Nominal,1,0,Reading components (paper),Reading Components scoring (all),"Cognitive (""not reached"")",Values,
1178,P921037R,PC P3 S4 World Sports (Actual Response),Integer,Nominal,1,0,Reading components (paper),Reading Components responses (passage comprehension),"Cognitive (""not reached"")",Values,
1179,P921037S,PC P3 S4 World Sports (Scored Response),Integer,Nominal,1,0,Reading components (paper),Reading Components scoring (all),"Cognitive (""not reached"")",Values,
1180,P921038R,PC P3 S5 World Sports (Actual Response),Integer,Nominal,1,0,Reading components (paper),Reading Components responses (passage comprehension),"Cognitive (""not reached"")",Values,
1181,P921038S,PC P3 S5 World Sports (Scored Response),Integer,Nominal,1,0,Reading components (paper),Reading Components scoring (all),"Cognitive (""not reached"")",Values,
1182,P921040R,PC P3 S7 World Sports (Actual Response),Integer,Nominal,1,0,Reading components (paper),Reading Components responses (passage comprehension),"Cognitive (""not reached"")",Values,
1183,P921040S,PC P3 S7 World Sports (Scored Response),Integer,Nominal,1,0,Reading components (paper),Reading Components scoring (all),"Cognitive (""not reached"")",Values,
1184,P921041R,PC P3 S8 World Sports (Actual Response),Integer,Nominal,1,0,Reading components (paper),Reading Components responses (passage comprehension),"Cognitive (""not reached"")",Values,
1185,P921041S,PC P3 S8 World Sports (Scored Response),Integer,Nominal,1,0,Reading components (paper),Reading Components scoring (all),"Cognitive (""not reached"")",Values,
